Itn  Tag Loss    Tag %    Dep Loss    UAS     LAS    NER Loss   NER P   NER R   NER F   Token %  CPU WPS
---  ---------  --------  ---------  ------  ------  ---------  ------  ------  ------  -------  -------
  1  944672.974    96.239  1837493.610  95.584  93.747  173269.940  92.618  93.553  93.083  100.000     5009
  2  645028.338    96.791  1266677.858  96.342  94.665  109319.448  93.555  94.563  94.057  100.000     4927
  3  575761.070    97.013  1131506.589  96.563  95.056  94227.328  93.916  94.833  94.372  100.000     5044
  4  538135.947    97.182  1060786.070  96.707  95.290  86559.976  93.845  94.950  94.394  100.000     4785
  5  512645.117    97.239  1010503.283  96.807  95.439  80083.105  94.079  95.220  94.646  100.000     4937
  6  495106.205    97.286  974580.399  96.906  95.575  75821.692  94.428  95.270  94.847  100.000     4947
  7  480867.098    97.363  945568.918  96.922  95.629  72704.340  94.434  95.388  94.909  100.000     4918
  8  468732.536    97.403  926978.702  97.013  95.764  69308.444  94.591  95.371  94.979  100.000     4958
  9  458928.105    97.418  908932.239  97.040  95.762  67094.617  95.030  95.590  95.309  100.000     4789
 10  451004.769    97.437  892377.758  97.089  95.837  65180.284  94.801  95.455  95.127  100.000     4794
